NPS,Class,File,Disc OD,Plate,Bolts,Bolt dia,Bolt circle,Stem,Crossbar,Bar depth,Bolt gap per side,Crossbar starts,Overall length,Approx lb
1/2,150,NPS0.5_CL150_skillet.dxf,1-3/4,1/8,4,1/2,2-3/8,5/8,2-1/2,3/4,0.277,3.750,5.375,0
3/4,150,NPS0.75_CL150_skillet.dxf,2-1/8,1/8,4,1/2,2-3/4,5/8,2-1/2,3/4,0.410,3.940,5.753,0
1,150,NPS1_CL150_skillet.dxf,2-1/2,1/8,4,1/2,3-1/8,3/4,2-1/2,3/4,0.480,4.125,6.125,0
1-1/4,150,NPS1.25_CL150_skillet.dxf,2-7/8,1/4,4,1/2,3-1/2,3/4,2-1/2,3/4,0.612,4.310,6.497,1
1-1/2,150,NPS1.5_CL150_skillet.dxf,3-1/4,1/4,4,1/2,3-7/8,7/8,2-1/2,3/4,0.683,4.500,6.875,1
2,150,NPS2_CL150_skillet.dxf,4,1/4,4,5/8,4-3/4,1-1/8,3,7/8,0.804,5.000,7.875,1
2-1/2,150,NPS2.5_CL150_skillet.dxf,4-3/4,1/4,4,5/8,5-1/2,1-3/8,3-3/4,1,0.945,5.500,8.875,2
3,150,NPS3_CL150_skillet.dxf,5-1/4,1/4,4,5/8,6,1-1/2,4,1-1/8,1.059,5.750,9.500,2
3-1/2,150,NPS3.5_CL150_skillet.dxf,6-1/4,3/8,8,5/8,7,1-5/8,4-1/2,1-1/4,0.214,6.250,10.625,4
4,150,NPS4_CL150_skillet.dxf,6-3/4,3/8,8,5/8,7-1/2,1-3/4,4-3/4,1-1/4,0.248,6.500,11.125,5
5,150,NPS5_CL150_skillet.dxf,7-5/8,3/8,8,3/4,8-1/2,2-1/8,5-3/4,1-5/8,0.189,7.000,12.438,7
6,150,NPS6_CL150_skillet.dxf,8-5/8,1/2,8,3/4,9-1/2,2-1/2,7,1-7/8,0.193,7.500,13.688,11
8,150,NPS8_CL150_skillet.dxf,10-7/8,1/2,8,3/4,11-3/4,3,8-1/4,2,0.373,8.750,16.188,17
10,150,NPS10_CL150_skillet.dxf,13-1/4,5/8,12,7/8,14-1/4,2-3/8,6-1/2,1-3/4,0.219,10.000,18.375,28
12,150,NPS12_CL150_skillet.dxf,16,3/4,12,7/8,17,3,8-1/4,2,0.262,11.500,21.500,49
14,150,NPS14_CL150_skillet.dxf,17-5/8,3/4,12,1,18-3/4,3,8-1/4,2,0.426,12.500,23.312,58
16,150,NPS16_CL150_skillet.dxf,20-1/8,7/8,16,1,21-1/4,2-3/4,7-1/2,2,0.198,13.750,25.812,85
18,150,NPS18_CL150_skillet.dxf,21-1/2,1,16,1-1/8,22-3/4,2-7/8,8,2,0.219,14.500,27.250,111
20,150,NPS20_CL150_skillet.dxf,23-3/4,1-1/8,20,1-1/8,25,2-3/8,6-1/2,1-3/4,0.205,15.750,29.375,148
24,150,NPS24_CL150_skillet.dxf,28-1/8,1-1/4,20,1-1/4,29-1/2,2-7/8,8,2,0.245,18.000,34.062,230
1/2,300,NPS0.5_CL300_skillet.dxf,2,1/4,4,1/2,2-5/8,5/8,2-1/2,3/4,0.366,3.875,5.625,0
